gene	aRRA	p_value	significant	# sgRNAs	# signif. sgRNAs	mean	std	cat
Anapc5__1	3.615047417586275e-07	0.0	True	5	4	-4.45032480783854	0.3700228530262141	Significant
Srp68__1	3.849522510865819e-07	0.0	True	10	8	-2.5750773336592894	0.25320891009904084	Significant
Ercc2__1	3.952662246717116e-07	0.0	True	9	8	-2.9797010804111816	0.49565839431208497	Significant
Prim1__1	4.0638184518238243e-07	0.0	True	5	5	-4.448928293975645	1.0158869956650292	Significant
Ubtf__1	4.5585246140596513e-07	0.0	True	10	9	-1.9579705589008738	0.2359917472837914	Significant
Cad__1	5.006183145102311e-07	0.0	True	10	9	-2.9850251326051422	0.49898763128799567	Significant
Urb2__1	5.22085698584382e-07	0.0	True	10	7	-2.538030213931954	0.4259906765035703	Significant
Gemin7__1	5.610595480156451e-07	0.0	True	10	8	-2.8179642131057703	0.9775469739071245	Significant
Nop56__1	6.065569805990345e-07	0.0	True	10	7	-2.186752474551068	0.45999237258947256	Significant
Spcs3__1	6.175122761173648e-07	0.0	True	5	4	-4.645799401080602	1.5089623957424119	Significant
Aars1__1	6.29592432881435e-07	0.0	True	6	5	-3.6661201542606703	0.9247133268707022	Significant
Mto1__1	6.387072978316168e-07	0.0	True	5	5	-3.8783989527104996	0.3031549061612515	Significant
Mrpl37__1	6.513171674470853e-07	0.0	True	5	4	-3.903644382705699	0.7190472358337591	Significant
Tsen2__1	6.584466469655414e-07	0.0	True	15	11	-1.9438428504135723	0.477996825460171	Significant
Coasy__1	6.616278378472106e-07	0.0	True	10	7	-2.658447030308685	0.4513186080085664	Significant
Psmc3__1	6.666362158950969e-07	0.0	True	5	4	-4.9348670851547745	0.1963036712670848	Significant
Dhodh__1	6.718141053811396e-07	0.0	True	10	9	-3.2801484299815318	0.41257217558929327	Significant
Mrpl38__1	6.758055543909462e-07	0.0	True	9	9	-2.326166890897073	0.26506027600155746	Significant
Polr1c__1	6.808470123230038e-07	0.0	True	5	5	-3.57771980798365	0.3788638747846114	Significant
LOC100757535__1	7.15179076919051e-07	0.0	True	15	8	-1.527856268454377	0.4448160048691498	Significant
Psmc4__1	7.207282084764038e-07	0.0	True	5	5	-4.392316383181597	0.4309395917387487	Significant
Pfn1__1	7.650860490009333e-07	0.0	True	5	5	-4.574950940461544	0.016378728447751695	Significant
Ruvbl2__1	8.250811529904494e-07	0.0	True	5	4	-3.8721477027507465	1.11746048876978	Significant
Dhx30__1	8.409946391154691e-07	0.0	True	5	4	-4.188336271940179	1.0646982665103957	Significant
Rfc2__1	8.438922116443148e-07	0.0	True	5	5	-3.7365829579809064	0.7269271556721902	Significant
Mrpl12__1	8.784139536402307e-07	0.0	True	10	10	-2.7440385741321958	0.4468170358722036	Significant
Srsf7__1	8.894861531956102e-07	0.0	True	10	7	-1.988999921510835	0.4681385599738805	Significant
Brf1__1	8.920196472278276e-07	0.0	True	10	8	-2.1552838398195737	0.3134451259342042	Significant
Rrm1__1	8.98886024092713e-07	0.0	True	5	5	-4.170110211160869	0.9055058114974425	Significant
Sf3a2__1	9.158404834922294e-07	0.0	True	10	6	-2.248118756392539	0.4799394074859455	Significant
Coq5__1	9.176308901097282e-07	0.0	True	5	5	-4.221421400171207	0.45749030824398973	Significant
Srpra__1	9.19374107352988e-07	0.0	True	10	10	-2.5717881930829534	0.3590214765235671	Significant
Trmu__1	9.519154620407302e-07	0.0	True	10	8	-3.372218811878314	0.7249231186147976	Significant
Mre11__1	9.549088967077302e-07	0.0	True	10	10	-2.4659296108526787	0.46354518185413	Significant
Rrn3__1	9.626963095757308e-07	0.0	True	5	5	-4.810001259198459	0.2783892002573005	Significant
LOC100766053__1	1.0231393351369596e-06	0.0	True	10	9	-2.8142240146028312	0.41686382179762943	Significant
Foxred1__1	1.0394765197757475e-06	0.0	True	11	8	-2.280607151978645	0.20946192704364744	Significant
Exosc8__1	1.115800004863004e-06	0.0	True	10	8	-2.569732059096553	0.7090900003911006	Significant
Slf1__1	1.123519421221842e-06	0.0	True	10	7	-1.71845293366145	0.5223109333177255	Significant
Gins2__1	1.1267505515495328e-06	0.0	True	5	5	-4.257675198976252	0.48594874199551014	Significant
Gfm2__2	1.238399733676906e-06	0.0	True	13	8	-1.4564628031342053	0.3429573485591529	Significant
LOC103159270__1	1.2470528675198628e-06	0.0	True	5	5	-4.153551717442866	0.7333743751578747	Significant
Sacm1l__1	1.255845510023391e-06	0.0	True	5	5	-4.233339683611095	1.018608854589016	Significant
Ogt__1	1.3098410741131817e-06	0.0	True	10	8	-2.3665709307998117	0.7344769565026235	Significant
Dhx36__1	1.3207584730425447e-06	0.0	True	5	5	-3.8762495877619316	0.7906026985388254	Significant
Sf3a3__1	1.3221944201645562e-06	0.0	True	10	9	-2.323333198575635	0.11536481901842302	Significant
Hnrnpl__1	1.323069717257236e-06	0.0	True	5	5	-4.553950199627935	0.19339373467791382	Significant
Hyou1__1	1.346530526754098e-06	0.0	True	5	5	-3.6064984938061864	0.5790133377824234	Significant
Mrps30__1	1.3491963951067805e-06	0.0	True	5	5	-3.831179846099966	0.7229590290315487	Significant
Cdk7__1	1.4313352005499278e-06	0.0	True	10	9	-1.8974869903233744	0.08227034863900698	Significant
Nup85__1	1.432681233400601e-06	0.0	True	10	10	-2.3582430651373953	0.2254928518022978	Significant
Snrpd3__1	1.4829535392349444e-06	0.0	True	5	5	-4.302117072586865	0.25305084044053744	Significant
Tubgcp3__1	1.4995537362786335e-06	0.0	True	5	5	-3.21875976105021	0.9121775269801675	Significant
Srp14__1	1.5405943535995431e-06	0.0	True	5	4	-4.137620894522782	0.489521729818417	Significant
Ddx39b__1	1.5784636682790602e-06	0.0	True	9	9	-2.9011782201336747	0.6273972882657711	Significant
Rpl32__1	1.606913887360787e-06	0.0	True	10	7	-2.775669925387761	0.6563888562089033	Significant
Use1__1	1.6388328762388505e-06	0.0	True	13	9	-1.658642496201698	0.1382625629043848	Significant
Fam32a__1	1.662423237842201e-06	0.0	True	10	10	-2.706969741228358	0.7279288604441875	Significant
Ppcdc__1	1.6844577547638092e-06	0.0	True	10	9	-2.3781631372253456	0.6203002239418324	Significant
Mrps16__1	1.695573951911218e-06	0.0	True	5	4	-3.930676198984776	0.602887942930784	Significant
Hspd1__1	1.7999849161681217e-06	0.0	True	5	4	-3.588978195706175	0.7581670605892796	Significant
Polr1a__1	1.8141007379724696e-06	0.0	True	5	5	-3.887269219059127	1.1919550849965261	Significant
Rps24__1	1.834075834822368e-06	0.0	True	5	4	-4.080332049864937	1.0998517472410614	Significant
Arih1__1	1.862795218756552e-06	0.0	True	5	5	-3.686050410029424	1.2643791935004114	Significant
Ndufb10__1	1.8807293824725213e-06	0.0	True	4	4	-4.5169470534906955	1.0793798195390514	Significant
Gnl2__1	1.8901658701342388e-06	0.0	True	5	4	-3.2652222309625456	0.8049156834563815	Significant
Pdgfrb__1	1.9002170249480253e-06	0.0	True	5	5	-3.1593615294448525	0.4392602362086975	Significant
Trappc1__1	1.927416761387117e-06	0.0	True	5	5	-4.6161145907142656	1.03197755968295	Significant
Ndufa2__1	1.9518754968317973e-06	0.0	True	5	5	-4.70782715426997	0.3592995673673461	Significant
Pes1__1	2.045083139631018e-06	0.0	True	9	9	-2.951923667675877	0.1631744613809097	Significant
Cnot1__1	2.05059880930644e-06	0.0	True	10	9	-2.147772153596309	0.42176110709405695	Significant
Rps14__1	2.145252864542472e-06	0.0	True	5	4	-4.3630039265324	0.769149441573312	Significant
Lage3__1	2.1541774614013542e-06	0.0	True	5	4	-3.5892119926075736	0.6482618343060076	Significant
Nsmce1__1	2.2386054424794525e-06	0.0	True	5	3	-3.379835181253674	1.5267264702684331	Significant
Chaf1b__1	2.2796588334487246e-06	0.0	True	5	3	-3.9524508042684845	0.6940977893664654	Significant
Ngrn__1	2.3566424134423672e-06	0.0	True	10	7	-1.8530931826869126	0.26216944230507844	Significant
Surf6__1	2.395895856029021e-06	0.0	True	11	9	-1.6276850905135813	0.443599193712221	Significant
Smarca4__1	2.444925696392368e-06	0.0	True	5	4	-3.7284749473005325	1.0636386975942578	Significant
Rbm25__1	2.476554947629308e-06	0.0	True	10	6	-1.8136497361422381	0.4945109058067215	Significant
Sars1__1	2.53312206138447e-06	0.0	True	5	5	-3.7701384428269527	0.6159935862351438	Significant
Noc2l__1	2.539753267338569e-06	0.0	True	5	5	-2.896459444439959	0.9579820384690362	Significant
Pold2__1	2.560843759894642e-06	0.0	True	5	5	-3.5548873254902125	0.9271021674877779	Significant
Aldoa__1	2.6201602482408963e-06	0.0	True	10	8	-2.329808253240988	0.7040300686494468	Significant
Uhrf1__1	2.6990440664130225e-06	0.0	True	9	7	-2.033890794696801	0.14476179491363178	Significant
Lars2__1	2.760567102168596e-06	0.0	True	5	4	-3.5457334332654846	0.10976896035368934	Significant
Sec61a1__1	2.8516437523934776e-06	0.0	True	5	5	-2.5502359821031773	1.355493819201486	Significant
Cog8__1	2.952572596274093e-06	0.0	True	5	5	-2.8406533506220257	0.339950939038318	Significant
Atp6v1a__1	3.0524921483792187e-06	0.0	True	5	5	-3.095712354108628	0.5810765892888952	Significant
Dmac2__1	3.056339180509223e-06	0.0	True	5	5	-3.7543951214232973	0.3666679115973226	Significant
Cltc__1	3.1301729080001225e-06	0.0	True	5	5	-2.899877627484499	0.20461142882004618	Significant
Pelp1__1	3.1616844615911324e-06	0.0	True	5	5	-3.357837285748699	0.6601432413127362	Significant
Exoc1__1	3.2712691893631144e-06	0.0	True	5	5	-3.2978378999741733	0.4549411359513103	Significant
C2H18orf21__1	3.391565901862748e-06	0.0	True	5	4	-3.6290436625034572	0.8917524328877909	Significant
Fastkd5|Ubox5	3.394661707266468e-06	0.0	True	10	7	-1.7685662564506843	1.0507679574682023	Significant
Rpl7l1__1	3.454820012886742e-06	0.0	True	5	4	-3.351111856132825	0.8954880499947759	Significant
Mak16__1	3.463368954466065e-06	0.0	True	5	5	-4.511380809001441	0.3484407562170045	Significant
Rad9a__1	3.473967610888675e-06	0.0	True	5	4	-3.944959824099752	1.1834002393905019	Significant
Gtf2h3__1	3.634436917656063e-06	0.0	True	5	4	-3.174822439532848	0.9242695601858244	Significant
Sc5d__1	3.787390573345684e-06	0.0	True	5	5	-3.1334233869460038	0.376951098058997	Significant
Fdft1__1	4.080911721496956e-06	0.0	True	5	5	-4.1071391382920845	0.45878330360654174	Significant
Hsd17b7__1	4.095971635037859e-06	0.0	True	5	5	-4.264896549512346	0.7831689898856632	Significant
Rack1__1	4.097105795269584e-06	0.0	True	5	5	-4.123899329358986	0.6647873097969929	Significant
Ppm1f__1	4.181074941724991e-06	0.0	True	5	4	-3.8040189840215457	0.811794365541151	Significant
Birc6__1	4.205135387475523e-06	0.0	True	9	6	-1.6118336945752596	0.09392852041172513	Significant
Hspa9__1	4.339927594385284e-06	0.0	True	5	5	-4.3124427295849	0.6041547871132372	Significant
Hnrnpu__1	4.362793962603774e-06	0.0	True	5	4	-3.507937946619588	0.38512721274580364	Significant
Polr1b__1	4.421584940222158e-06	0.0	True	5	5	-2.6724376770679323	1.5069570991561532	Significant
Psmd14__1	4.506788839789383e-06	0.0	True	5	5	-4.773919782563175	1.3208397977407023	Significant
Dnaja3__1	4.548679241501513e-06	0.0	True	5	4	-3.539398508127664	1.6231405384613067	Significant
Ints1__1	4.598135584132282e-06	0.0	True	10	7	-2.522618846905784	0.2651218612428091	Significant
Atp5mf__1	4.700993390735875e-06	0.0	True	5	4	-4.549875572763735	0.7874515111241098	Significant
Ss18l2__1	4.711701799590595e-06	0.0	True	5	4	-3.7063539545923234	0.4007832168724837	Significant
Supv3l1__1	4.798029047917604e-06	0.0	True	5	4	-3.474708954718819	0.6249916109607804	Significant
Pex1__1	4.893034910861473e-06	0.0	True	10	8	-2.358390597333625	0.2004125952591446	Significant
Rars2__1	4.895835953113608e-06	0.0	True	5	5	-3.7185965515205983	0.4270678034280876	Significant
Yars2__1	4.996599210367742e-06	0.0	True	5	4	-3.802325556852196	0.6297889813132466	Significant
Dhdds__1	5.013937672486704e-06	0.0	True	9	9	-2.6021933475566543	0.7212514050756479	Significant
LOC100753562__1	5.022406883781745e-06	0.0	True	20	10	-0.9240946479000944	0.21695683853138806	Significant
Ak2__1	5.171158943629076e-06	0.0	True	5	5	-2.8685754490044064	0.5154399722304355	Significant
Aup1__1	5.216987084958779e-06	0.0	True	15	9	-1.148606171270687	0.18241844333293863	Significant
Atp5f1a__1	5.381631925680788e-06	0.0	True	5	5	-2.5958827104382403	0.6494290965943361	Significant
LOC100762870|LOC100759689	5.386271809839284e-06	0.0	True	9	5	-2.111717854137954	0.4242960029846435	Significant
Hsd17b10__1	5.4698047854979135e-06	0.0	True	5	5	-4.5772001173354635	0.12749167649239493	Significant
Rtcb__1	5.790539702080152e-06	0.0	True	6	5	-3.605722608609038	0.5923068616343831	Significant
Psmc1__1	5.837381358573767e-06	0.0	True	5	4	-3.166383716705465	0.6705730501543563	Significant
Sf3b2__1	5.851989494490317e-06	0.0	True	10	7	-1.7400307562448885	0.07441917486683376	Significant
Timm44__1	5.9466496092610376e-06	0.0	True	5	5	-3.8175089684423202	0.7625403788660889	Significant
Polr3a__1	6.010289459805454e-06	0.0	True	6	5	-3.271129916467433	0.586908788112034	Significant
Fars2__1	6.07048087982194e-06	0.0	True	5	4	-3.403872199528744	0.504936173192981	Significant
Rpf1__1	6.1436881396410926e-06	0.0	True	5	5	-3.2301278456846005	0.8606993070870567	Significant
Actr6__1	6.173674762468228e-06	0.0	True	10	9	-3.028520563064498	0.39193077989018743	Significant
Banp__1	6.217434026203568e-06	0.0	True	15	10	-1.6111073217826748	0.4085928014487233	Significant
Alg5__1	6.263562907196475e-06	0.0	True	10	6	-2.1718138712850497	0.6287915134477788	Significant
Nadk2__1	6.361040657188393e-06	0.0	True	9	7	-2.186790410637141	0.5675969945861816	Significant
Fbxo5__1	6.485227655928952e-06	0.0	True	5	5	-3.688445318498705	0.7501844639072864	Significant
Poln|Haus3	6.504332836507397e-06	0.0	True	15	8	-1.2627717989018536	0.43699704176150456	Significant
Wnk1__1	6.504350814523447e-06	0.0	True	9	7	-2.1077456603886344	0.1042684221240313	Significant
Atic__1	6.546350952675828e-06	0.0	True	5	5	-3.6959406201848948	0.28093785467485793	Significant
Xpo5__1	6.5785187940536434e-06	0.0	True	10	9	-2.497523605536971	0.7481723937914617	Significant
Cct3__1	6.829476853664008e-06	0.0	True	5	4	-3.4874165279998515	0.6555837375391659	Significant
Nars1__1	6.886285297348839e-06	0.0	True	5	4	-3.376522828582962	0.3853111494392282	Significant
Gpn1__1	6.925309889288246e-06	0.0	True	5	5	-3.504515785144091	0.7274745359398296	Significant
Mtg2__1	6.935189074399023e-06	0.0	True	5	5	-3.5265591012402697	0.9694689895028376	Significant
Wdr55__1	7.324200139277191e-06	0.0	True	5	5	-3.549875572763734	0.8058418681630951	Significant
Rps15a__1	7.346839835754903e-06	0.0	True	4	3	-4.073634565242358	0.805099877508206	Significant
Set__2	7.439706644129981e-06	0.0	True	10	7	-1.8582662805565577	0.30766178783696885	Significant
Ndufa13__1	7.451569957108127e-06	0.0	True	5	5	-3.5011874692486695	0.9220792935182123	Significant
Ndor1__1	7.511963646586126e-06	0.0	True	5	5	-2.7419310046329683	0.48939087228609274	Significant
Gtf3c3__1	7.513849003716025e-06	0.0	True	5	5	-4.380045205653417	1.158413689754948	Significant
Rpl18__1	7.814395225438853e-06	0.0	True	5	5	-4.02831519291195	0.1949319875733427	Significant
Elac2__1	7.981656374418703e-06	0.0	True	5	5	-2.6278014730781103	0.6549153012257195	Significant
Rps5__1	7.998603561522005e-06	0.0	True	5	4	-3.046868515224623	0.10233612494883446	Significant
Ercc3__1	8.054537639211693e-06	0.0	True	5	4	-3.377000476502508	1.4822242480023728	Significant
Cstf1__1	8.098475396094587e-06	0.0	True	5	5	-4.082746429020312	0.6420631123848671	Significant
Arcn1__1	8.122851389683492e-06	0.0	True	5	4	-3.2996987370616924	0.8981144996603344	Significant
Emg1__1	8.364887213173124e-06	0.0	True	5	5	-3.6580685274960745	1.007098696630368	Significant
LOC100754679__1	8.468754572492796e-06	0.0	True	5	5	-3.4410361175123034	0.8858057656541727	Significant
LOC100768776__1	8.697341528098886e-06	0.0	True	5	5	-3.5450949926012196	0.6677546618834508	Significant
Pold1__1	8.799085355168952e-06	0.0	True	5	5	-4.415809249614564	0.13060754395929344	Significant
Rpl13a__1	8.812987643643663e-06	0.0	True	5	4	-3.852855728951885	0.5490120808209871	Significant
Psmg3__1	8.894592794263412e-06	0.0	True	5	5	-3.709645917089623	0.5088975568813636	Significant
Vps51__1	8.943061454301152e-06	0.0	True	10	7	-2.420123557656031	0.36839038256364964	Significant
Mars2__1	9.194067899144812e-06	0.0	True	5	5	-4.525452511895171	0.3957402439814425	Significant
Ddx51__1	9.7521239797034e-06	0.0	True	5	5	-3.575505055000538	1.0264541502558293	Significant
Eif2b4__1	9.791137627597515e-06	0.0	True	5	5	-3.008890068103856	0.14774439419202795	Significant
Srebf2__1	1.0001324784058336e-05	0.0	True	5	5	-5.052237014956427	1.1743939332931517	Significant
Rrp9__1	1.0023557206850002e-05	0.0	True	5	4	-2.9727330788938326	0.53274385383873	Significant
Acad9__1	1.019491029248521e-05	0.0	True	5	5	-3.081500328185844	0.5917278207915516	Significant
