chromosome	windowbegin	windowend	Genes
NC_048604.1	125699361	125850472	Araf, Syn1, Timp1, LOC113830960, Cfp, Elk1, Uxt, LOC103162321, LOC118239422
NC_048596.1	 74099125	 74250424	Sgf29, LOC100754948, Nupr1, LOC113831636, Il27, Apobr, Cln3, LOC100754077
NC_048595.1	436799253	436950981	Dner, Trip12
NC_048600.1	116249554	116400942	LOC118239182, LOC113836906, LOC103158999, LOC103158905, LOC113832073
NC_048600.1	 98099860	 98250752	Dhrs11, Ggnbp2, Pigw, Myo19, Znhit3, Ca4
NC_048600.1	100799011	100950805	Hsf5, Rnf43, Supt4h1, Mir142, Tspoap1
NC_048597.1	 87149125	 87300989	Rfc3, LOC100769614, LOC100769326, LOC113835458
NC_048599.1	 85049018	 85200757	Harbi1, Atg13, Arhgap1, Znf408, LOC100762489, F2, Ckap5, LOC113832844
NW_023276806.1	241199101	241350852	NA
NC_048597.1	214499060	214650956	Poc1a, Dusp7
NC_048600.1	100349605	100500861	Ska2, Trim37, Ppm1e
NC_048595.1	333749163	333900991	NA
NW_023276807.1	158699030	158850467	LOC100760445, LOC118239695
NC_048595.1	427799012	427950955	Plcd4, Znf142, LOC113833648, LOC100771607, Rnf25, Stk36, Ttll4, LOC100751584
NC_048604.1	119549108	119700823	NA
NC_048597.1	156749506	156900986	Mpzl3, Jaml, Scn2b, Scn4b, Tmprss4
NC_048600.1	 91199027	 91350743	Myo18a, Pipox
NC_048595.1	398399131	398550795	Krt18, Eif4b, Tns2, Spryd3, LOC118238009, Igfbp6, Soat2
NC_048602.1	 14549163	 14700956	LOC113839144, LOC118237667
NW_023276807.1	173099440	173250641	NA
NW_023276807.1	181499087	181650801	LOC113832559
NC_048595.1	385799329	385950992	Mov10l1, Panx2, Trabd, Selenoo, Tubgcp6, Hdac10, Mapk12, Mapk11, Plxnb2, Dennd6b, Ppp6r2
NW_023276806.1	 24899057	 25050638	LOC113831299, LOC118239505, LOC113833499
NC_048600.1	 15449495	 15600980	Itsn2, Fam228a, LOC100762989, LOC113832191, Pfn4, Trnak-uuu-12, Tp53i3, Sf3b6
NC_048599.1	122399125	122550996	Rbm43
NC_048597.1	178499136	178650884	Rab8b, Rps27l, Lactb, LOC113835240, Tpm1
NW_023276807.1	204449029	204600568	Tmem260, LOC100767389, LOC113832212
NC_048603.1	 32249088	 32400790	Deptor, LOC113837500, LOC118239377
NC_048598.1	103049064	103200983	Unc79, LOC100767292
NC_048601.1	 24149238	 24300882	LOC100757228, LOC100757518, LOC100757975, LOC100754503
NC_048599.1	152249081	152400643	LOC100773565
NW_023276807.1	120299409	120450902	Dhx15
NW_023276807.1	 77549119	 77700850	Rtn4, LOC107979055, Clhc1
NC_048597.1	140099169	140250978	NA
NC_048602.1	 10199183	 10350983	LOC100766202, LOC100756319, Crx
NC_048596.1	230849219	231000822	NA
NC_048599.1	 39749265	 39900987	NA
NC_048595.1	293249062	293400977	Frmd1, LOC100775051, Dact2
NC_048597.1	170999061	171150831	Arih1, LOC113835544, Tmem202, Hexa, Celf6
NC_048601.1	 69899138	 70050966	LOC100773719, LOC100773429, LOC100750692, LOC100773144, LOC100774888, LOC100772856
NW_023276807.1	216299288	216450983	Arl11, Ebpl, Kpna3
NC_048604.1	 14849083	 15000954	Gpr101, LOC100766498, LOC113837799
NW_023276806.1	108149108	108300898	CUNH4orf33, Sclt1
NW_023276808.1	   149025	   300678	LOC118239746, LOC100756412
NC_048595.1	 20999359	 21150947	Gmeb1, LOC113833899, Ythdf2, Oprd1
NC_048601.1	 89849060	 90000969	LOC113835719, Cbx3, Hnrnpa2b1, Nfe2l3
NC_048604.1	 11699087	 11850901	Cdr1, LOC118239416
NC_048604.1	 88349449	 88500758	LOC100768101
NC_048596.1	 90599268	 90750707	Znf143, Ipo7, LOC113835098, LOC113831211, Tmem41b
NW_023276807.1	 96599183	 96750909	LOC100755196, LOC118239728
NW_023276807.1	 67349064	 67500810	Tmem255b, Grk1, Atp4b, Tfdp1, LOC103162639, Tmco3
NC_048598.1	110549167	110700460	LOC113836180
NC_048595.1	368549024	368700949	Trip13, Brd9, Zdhhc11b, Tppp
NC_048601.1	 59099202	 59250810	LOC100753098, LOC100753695, LOC103163383, LOC113831505
NW_023276807.1	100049574	100200708	Nf2, Cabp7, Zmat5, LOC100774773
NC_048596.1	 26999364	 27150649	LOC113834738, LOC103161854, LOC118238530, LOC100767358, LOC100772509, LOC100772800, LOC113834739, LOC100773381, LOC100774174, LOC113834740
NC_048595.1	196799063	196950933	NA
NC_048595.1	222299303	222450877	NA
NC_048597.1	166349384	166500975	Wdr61, Crabp1, LOC103160494, Ireb2
NC_048599.1	 55499077	 55650771	NA
NW_023276806.1	148349051	148500905	LOC100752430
NW_023276806.1	270299207	270450922	Jmjd1c, Reep3, LOC100750557
NC_048600.1	116699069	116850961	Gosr2, LOC118239221, Wnt9b, LOC100774849
NC_048601.1	 56849136	 57000891	LOC118239270
NC_048597.1	220499030	220650991	NA
NC_048600.1	  1199122	  1350871	Barhl2
NW_023276807.1	109349483	109500988	LOC113831562
NW_023276806.1	139649158	139800649	LOC103163686, LOC100755143, Kcnmb4
NC_048600.1	 24599149	 24750827	LOC107977847
NC_048599.1	 45599034	 45750705	LOC100752865, LOC107979387, Fermt1, LOC113836004, LOC113835954, Lrrn4, Mcm8, Trmt6
NC_048600.1	 88799019	 88950462	Rpa1, LOC103158874, Serpinf1, Serpinf2, Wdr81, Mir22, Prpf8
NC_048598.1	 93449003	 93600845	NA
NC_048602.1	  5249004	  5400861	Kmt2b, Igflr1, LOC113837364, Psenen, Lin37, Hspb6, Proser3, LOC113837360, Arhgap33, Prodh2, Nphs1, Kirrel2, Aplp1
NC_048596.1	244649039	244800793	LOC100760099, LOC100771583, Trnam-cau-11, Trnai-aau-9, Trnaa-agc-12, Trnav-aac-9, Trnaa-agc-13, Trnav-aac-10, Trnav-cac-6, Trnaa-agc-14, Abt1, Trnay-gua-5, Trnay-gua-6, LOC113835024, Trnay-gua-7, Trnaa-agc-15, Trnay-gua-8, Trnak-cuu-32, Trnap-agg-5, Trnai-aau-10, Trnaa-cgc-2, Trnav-cac-7, Trnar-acg-4, Trnat-agu-4, Trnal-cag-4, Btn1a1, Trnae-uuc-7, Trnay-gua-9, LOC100772154, Trnaw-cca-2, Trnam-cau-12, Trnar-acg-5, Trnas-aga-6, Trnar-ucg-3
NC_048601.1	 43499035	 43650913	NA
NC_048595.1	373649002	373800798	Sharpin, Maf1, Wdr97, Hgh1, LOC100756562, LOC100764179, Mroh1, LOC113834526, Bop1, Scx, Hsf1, Dgat1
NC_048600.1	111749179	111900985	LOC103158907, LOC100759692, Csf3, Med24, LOC113832034, Thra, Nr1d1, LOC118239228, LOC118239229, Msl1, Casc3
NC_048601.1	 77549002	 77700974	Qrfpr, LOC118237737, LOC113837164, LOC100768607
NC_048597.1	110549030	110700843	Galnt17
NC_048601.1	 62099043	 62250966	LOC103158635, LOC118239308, LOC118239309
NC_048595.1	 13949135	 14100771	LOC100751175, LOC113833877, LOC100751467, LOC100751755, Slc66a1, Capzb
NC_048604.1	123149173	123300981	Dipk2b, LOC100759697, LOC100759984
NC_048604.1	 94199013	 94350995	Rps6ka3, LOC113837675, Eif1ax
NW_023276807.1	207299003	207450996	Chd8, Rab2b, LOC113832208, Tox4, Mettl3, Sall2, LOC100773730
NW_023276807.1	 94499022	 94650959	NA
NC_048600.1	 88649055	 88800933	Rtn4rl1, Rpa1
NC_048604.1	 56549013	 56700968	LOC103163154
NC_048597.1	117599248	117750560	NA
NW_023276806.1	 55499480	 55650885	Igsf3
NW_023276807.1	235949133	236100774	NA
NW_023276807.1	134399289	134550977	Slc30a9, LOC100766841, LOC100766260, LOC103158669
NC_048597.1	 86249042	 86400994	Fry, LOC113835478, Zar1l, Brca2, LOC113835479, N4bp2l1, N4bp2l2
NW_023276806.1	100649119	100800698	LOC100765132
NC_048599.1	103199062	103350929	LOC100774346, Pdk1, Itga6
NW_023276806.1	 34949575	 35100726	LOC100758983, LOC118237966, LOC113831513, Prss12, LOC118239552
NC_048600.1	 85199237	 85350926	LOC113836749, LOC100758208
NC_048596.1	122249001	122400963	NA
NC_048597.1	196199069	196350911	NA
NC_048600.1	118199046	118350751	Tlk2, LOC113836925, Mrc2, Marchf10
NC_048599.1	135449015	135600691	LOC103162377, LOC113836461, Il36g, LOC100757088, LOC100756801, Il36b
NC_048595.1	349649119	349800903	NA
NC_048599.1	117599089	117750990	LOC118239062, Nr4a2
NC_048596.1	 82949062	 83100983	Xylt1
